"X" "Y"
"1" -47.0503858998651 -22.8044072238371
"2" -47.046508172222 -22.80678775934
"3" -47.0419641940765 -22.8040928134877
"4" -47.0620108140349 -22.8094377894282
"5" -47.0565633345949 -22.8069225066327
"6" -47.0491731742316 -22.8115039145817
"7" -47.036481400337 -22.8126485587048
"8" -47.066519067397 -22.8148189841962
"9" -47.0472867121349 -22.8178819530989
"10" -47.0730073470524 -22.8171633008716
"11" -47.0554164654562 -22.8167590589938
"12" -47.0652081020531 -22.8178370373347
"13" -47.0406452976627 -22.8261137752092
"14" -47.0450633817863 -22.8195438364563
"15" -47.0496672476378 -22.8204870674229
"16" -47.069115773539 -22.8212057196502
"17" -47.063456387249 -22.8216548772922
"18" -47.0594139684705 -22.8228097846711
"19" -47.060402115283 -22.8278981685169
"20" -47.0515110460562 -22.8290031008525
"21" -47.0487725762232 -22.833499467673
"22" -47.0443615730505 -22.8360054640373
"23" -47.0676039088422 -22.8224430075767
"24" -47.0635246653534 -22.8186063643848
